"id";"id_region";"rayon_name";"rayon_name_kz"
"1";"1";"Кокшетау";" Көкшетау
"
"2";"1";"Степногорск";" Степногорск
"
"3";"1";"Аккольский район";" Ақкөл ауданы
"
"4";"1";"Аршалынский район";" Аршалы ауданы
"
"5";"1";"Астраханский район";" Астрахан ауданы
"
"6";"1";"Атбасарский район";" Атбасар ауданы
"
"7";"1";"Буландынский район";" Бұланды ауданы
"
"8";"1";"Бурабайский район";" Бурабай ауданы
"
"9";"1";"Егиндыкольский район";" Егіндікөл ауданы
"
"10";"1";"район Биржан-сал";" Біржан сал ауданы
"
"11";"1";"Ерейментауский район";" Ерейментау ауданы
"
"12";"1";"Есильский район";" Есіл ауданы
"
"13";"1";"Жаксынский район";" Жақсы ауданы
"
"14";"1";"Жаркаинский район";" Жарқайың ауданы
"
"15";"1";"Зерендинский район";" Зеренді ауданы
"
"16";"1";"Коргалжынский район";" Қорғалжын ауданы
"
"17";"1";"Сандыктауский район";" Сандықтау ауданы
"
"18";"1";"Целиноградский район";" Целиноград ауданы
"
"19";"1";"Шортандинский район";" Шортанды ауданы
"
"20";"2";"Актобе";" Ақтөбе
"
"21";"2";"Айтекебийский район";" Әйтеке би ауданы
"
"22";"2";"Алгинский район";" Алға ауданы
"
"23";"2";"Байганинский район";" Байғанин ауданы
"
"24";"2";"Иргизский район";" Ырғыз ауданы
"
"25";"2";"Каргалинский район";" Қарғалы ауданы
"
"26";"2";"Мартукский район";" Мәртөк ауданы
"
"27";"2";"Мугалжарский район";" Мұғалжар ауданы
"
"28";"2";"Темирский район";" Темір ауданы
"
"29";"2";"Уилский район";" Ойыл ауданы
"
"30";"2";"Хобдинский район";" Қобда ауданы
"
"31";"2";"Хромтауский район";" Хромтау ауданы
"
"32";"2";"Шалкарский район";" Шалқар ауданы
"
"33";"16";"Алатауский район";" Алатау ауданы
"
"34";"16";"Алмалинский район";" Алмалы ауданы
"
"35";"16";"Ауэзовский район";" Әуезов ауданы
"
"36";"16";"Бостандыкский район";" Бостандық ауданы
"
"37";"16";"Жетысуский район";" Жетісу ауданы
"
"38";"16";"Медеуский район";" Медеу ауданы
"
"39";"16";"Наурызбайский район";" Наурызбай ауданы
"
"40";"16";"Турксибский район";" Түрксіб ауданы
"
"41";"3";"Талдыкорган";" Талдықорған
"
"42";"3";"Капшагай";" Қапшағай
"
"43";"3";"Текели";" Текелі
"
"44";"3";"Аксуский район";" Ақсу ауданы
"
"45";"3";"Алакольский район";" Алакөл ауданы
"
"46";"3";"Балхашский район";" Балқаш ауданы
"
"47";"3";"Енбекшиказахский район";" Еңбекшіқазақ ауданы
"
"48";"3";"Ескельдинский район";" Ескелді ауданы
"
"49";"3";"Жамбылский район";" Жамбыл ауданы
"
"50";"3";"Илийский район";" Іле ауданы
"
"51";"3";"Карасайский район";" Қарасай ауданы
"
"52";"3";"Каратальский район";" Қаратал ауданы
"
"53";"3";"Кегенский район";" Кеген ауданы
"
"54";"3";"Кербулакский район";" Кербұлақ ауданы
"
"55";"3";"Коксуский район";" Көксу ауданы
"
"56";"3";"Панфиловский район";" Панфилов ауданы
"
"57";"3";"Райымбекский район";" Райымбек ауданы
"
"58";"3";"Саркандский район";" Сарқан ауданы
"
"59";"3";"Талгарский район";" Талғар ауданы
"
"60";"3";"Уйгурский район";" Ұйғыр ауданы
"
"61";"4";"Атырау";" Атырау
"
"62";"4";"Жылыойский район";" Жылыой ауданы
"
"63";"4";"Индерский район";" Индер ауданы
"
"64";"4";"Исатайский район";" Исатай ауданы
"
"65";"4";"Кзылкогинский район";" Қызылқоға ауданы
"
"66";"4";"Курмангазинский район";" Құрманғазы ауданы
"
"67";"4";"Макатский район";" Мақат ауданы
"
"68";"4";"Махамбетский район";" Махамбет ауданы
"
"69";"5";"Курчатов";" Курчатов
"
"70";"5";"Риддер";" Риддер
"
"71";"5";"Семей";" отбасы
"
"72";"5";"Усть-Каменогорск";" Өскемен
"
"73";"5";"Абайский район";" Абай ауданы
"
"74";"5";"Аягозский район";" Аягөз ауданы
"
"75";"5";"Бескарагайский район";" Бесқарағай ауданы
"
"76";"5";"Бородулихинский район";" Бородулиха ауданы
"
"77";"5";"Глубоковский район";" Глубокое ауданы
"
"78";"5";"Жарминский район";" Жарма ауданы
"
