"id";"name_school";"name_school_kz";"region_id";"class";"kvota_kz";"kvota_ru";"address";"address_kz";"phone";"site";"email"
"1";"КГУ «Областная специализированная школа-интернат №3 для одаренных детей имени Абая, город Кокшетау» Управления образования Акмолинской области";"Ақмола облысы білім басқармасының «Көкшетау қаласы, Абай атындағы дарынды балаларға арналған № 3 облыстық мамандандырылған мектеп-интернаты» КММ";"1";"7";"40";"0";"Акмолинская область, г. Кокшетау, ул.Саина 20 А";"Ақмола облысы, Көкшетау қаласы, Саина көшесі, 20 А";"8/7162/77-10-79";"sc0026.kokshetau.aqmoedu.kz";"kazinternat@mail.ru"
"2";"КГУ «Областная специализированная школа-интернат №2 для одаренных детей, город Нур-Султан» Управления образования Акмолинской области";"Ақмола облысы білім басқармасының «Нұр-Сұлтан қаласы, дарынды балаларға арналған № 2 облыстық мамандандырылған мектепинтернаты» КММ";"1";"7";"35";"10";"г. Нур- Султан, ул.А. Затаевича 14";"Нұр- Сұлтан қаласы, А. Затаевича көшесі, 14";"8/7172/942022";"http://sc0001.aqmoedu.kz/";"shkola.daryn@gmail.com"
"3";"КГУ «Областная специализированная школа-интернат №4 для одаренных детей «Болашак» город Степногорск» Управления образования Акмолинской области";"Ақмола облысы білім басқармасының «Дарынды балаларға арналған №4 облыстық мамандандырылған «Болашақ» мектеп-интернаты» КММ, Степногорск қаласы";"1";"7";"24";"24";"Акмолинская область, г.Степногорск, 4 микрорайон, 135 здание";"Ақмола облысы, Степногорск қаласы, 4 шағын ауданы, 135 ғимарат";"8 /7164/56-01-03";"http://sc0022.stepnogorsk.aqmoedu.kz";"bolashak_uch@inbox.ru"
"4";"ГУ «Актюбинская областная специализированная школа-интернат для одаренных детей имени М. Кусаинова» Управления образования Актюбинской области";"«Ақтөбе облысының білім басқармасы» ММ «М. Құсайынов атындағы Ақтөбе облыстық дарынды балаларға арналған мамандандырылған мектеп-интернаты» КММ";"2";"5";"52";"0";"г.Актобе, ул. Н.Кобландина 2а";"Ақтөбе қаласы,  Н.Қобландина көшіесі, 2а";"8/7132/21-10-73";"www.qusaiynovmektebi.kz ";"aktdaryn@mail.ru"
"5";"ГУ «Актюбинская областная специализированная физико-математическая школа-интернат» Управления образования Актюбинской области";"«Ақтөбе облысының білім басқармасы» ММ «Ақтөбе облыстық мамандандырылған физика-математика мектеп-интернаты» КММ";"2";"6";"26";"0";"г. Актобе, проспект Санкибай батыра, 74-С";"Ақтөбе қаласы,  Сәнкібай батыр даңғылы, 74-С";"8 /7132/90-93-31";"https://www.phizmat.kz/";"phys-math.edu@mail.ru"
"6";"КГУ «Специализированный лицей № 20 для одаренных детей с обучением на трех языках""  города Талдыкорган» ГУ «Управления образования Алматинской области»";"«Алматы облысы білім басқармасы» ММ Талдықорған қаласындағы «Дарынды балаларға арналған үш тілде оқытатын №20 арнаулы лицейі» КММ";"3";"5";"25";"25";"Алматинская область, г.Талдыкорган, пр.Назарбаева, 62А";"Алматы облысы, Талдықорған қ., Назарбаев даңғылы, 62А";"8/7282/24-66-13";"http://20-litsei.mektebi.kz/, https://www.facebook. com/SLGS20";"licey20 @ mail.ru"
"7";"КГУ «Специализированный лицей «Экономика и бизнес» № 24 имени Мухтара Арына для одаренных детей с обучением на трех языках» Управления образования Алматинской области, город Талдыкорган";"«Алматы облысы білім басқармасы» ММ Талдықорған қаласындағы «Дарынды балаларға арналған үш тілде оқытатын Мұхтар Арын атындағы № 24 «Экономика және бизнес» арнаулы лицейі» КММ";"3";"5";"75";"0";"Алматинская область, г.Талдыкорган. ул.Абылайхана, 150";"Алматы облысы, Талдықорған қ., Абылайхан көшесі, 150";"8/7282/24-42-66";"24-taldyk.mektebi.kz";"taldarin24@mail.ru"
"8";"КГУ «Алматинская областная специализированная физико-математическая школа-интернат имени Ш.Смагулова для одаренных детей» ГУ «Управления образования Алматинской области»";"«Алматы облысы білім басқармасы» ММ «Ш.Смағұлов атындағы Алматы облыстық мамандандырылған дарынды балаларға арналған физика-математика орта мектеп-интернаты» КММ";"3";"7";"75";"0";"г.Алматы, ул. Габдуллина, 45";"Алматы қаласы, Габдуллина көшесі, 45 үй";"8/7273/76 26 05";"smagulov-fizmat.mektebi.kz";"aofmmismagulov@gmail.com"
"9";"КГУ «Каргалинская специализированная гимназия №2 для одаренных детей с обучением на трех языках» Жамбылского района «Управления образования Алматинской области»";"«Алматы облысы білім басқармасы» ММ Жамбыл ауданындағы «Дарынды балаларға арналған үш тілде оқытатын Қарғалы № 2 арнаулы гимназиясы» КММ";"3";"5";"45";"0";"Алматинская область, Жамбылский район, с.Каргалы, микрарайон Наурыз, улица Наурыз 1";"Алматы облысы, Жамбыл ауданы, Каргалы ауылы, Наурыз шағын ауданы, Наурыз көшесі, 1";"8/7277/ 03-06-32";"2-kargaly.mektebi.kz";"kcgod2@mail.ru"
"10";"КГУ «Специализированная гимназия имени Аль-Фараби для одаренных детей с обучением на трех языках» Карасайского района Управления образования Алматинской области";"«Алматы облысы білім басқармасы» ММ Қарасай ауданындағы «Дарынды балаларға арналған үш тілде оқытатын Әл-Фараби атындағы арнаулы гимназиясы» КММ";"3";"5";"25";"0";"Алматинская область Карасайский район п.Алмалыбак, ул.Хабибуллина, №9";"Алматы облысы, Қарасай ауданы, Алмалыбақ ауылы, Хабибуллина көшесі, №9 үй";"8/7277/ 15-39-39";"http://al-farabi.mektebi.kz/";"priemnaya_al-farabi@mail.ru"
"11";"КГУ «Специализированная с углубленным изучением казахского языка и литературы средняя школа-интернат для одаренных детей имени Абая» ГУ «Управления образования Алматинской области»";"«Алматы облысы білім басқармасы» ММ «Абай атындағы мамандандырылған дарынды балаларға арналған қазақ тілі мен әдебиетін тереңдете оқытатын орта мектеп-интернаты» КММ";"3";"5";"25";"0";"г. Алматы, ул.  Чернышевского, 43";" Алматы қаласы,   Чернышевского көшесі, 43 үй";"8/7273/42-03-70";"нет сайта";"15aosi@mail.ru"
"12";"КГУ «Специализированная с углубленным изучением казахского языка и литературы средняя школа-интернат для одаренных детей имени Абая» ГУ «Управления образования Алматинской области»";"«Алматы облысы білім басқармасы» ММ «Абай атындағы мамандандырылған дарынды балаларға арналған қазақ тілі мен әдебиетін тереңдете оқытатын орта мектеп-интернаты» КММ";"3";"6";"25";"0";"г. Алматы, ул.  Чернышевского, 43";" Алматы қаласы,   Чернышевского көшесі, 43 үй";"8/7273/42-03-70";"нет сайта";"15aosi@mail.ru"
"13";"ГУ «Атырауская областная школа-интернат для одаренных детей» Управления образования Атырауской области";"Атырау облысы білім басқармасының «Атырау облысы дарынды балалар мектеп-интернаты» ММ";"4";"7";"40";"20";"г.Атырау, ул.Байтурсынова,127";"Атырау қаласы, А. Байтұрсынов көшесі,127 үй";"8/7122/27-84-36, 87014155041";".";"shkoladaryn@bk.ru, svet-sultana@mail.ru"
"14";"ГУ «Областная национальная гимназия для одаренных детей с интернатным учреждением» Управления образования Атырауской области";"Атырау облысы білім басқармасының «Облыстық дарынды балаларға арналған интернаттық мекемесі бар ұлттық гимназиясы» ММ";"4";"7";"75";"0";"г. Атырау, Абдрахманова, 39 А";"Атырау қаласы,  Абдрахманова көшесі, 39 А";"8/7122/51-86-08";;"atyrauoblgim@bkl.ru"
"15";"ГУ «Областной лицей имени Ж.Досмухамбетова для одаренных детей с интернатным учреждением» Управления образования Атырауской области";"Атырау облысы білім басқармасының «Ж. Досмұхамбетов атындағы дарынды балаларға арналған интернаттық мекемесі бар лицей» КММ";"4";"7";"40";"35";"г.Атырау, ул. М.Ауезова, 12";"Атырау қаласы, М.Ауезов көшесі, 12 үй";"8/7122/30-60-50";"dosmukhambetovkz.simplesite.com";"dosmyhanbetov@mail.ru"
"16";"КГУ «Областная специализированная IT школа-лицей» Управления образования Восточно-Казахстанской области";"Шығыс Қазақстан облысы білім басқармасының «Облыстық мамандандырылған IT мектеп-лицейі» КММ";"5";"5";"0";"75";"Восточно-Казахстанская область, г. Усть - Каменогорск, ул. Калихан Ыскак, 2/1";"Шығыс-Қазақстан облысы, Өскемен қаласы, Қалихан Ысқақ көшесі, 2/1 үй";"8/7232/77-60-76";"vostok.kokos.kz";"vostok97@bk.ru"
"17";"КГУ «Областная специализированная школа-лицей для детей, одаренных в области математики, физики, информатики» Управления образования Восточно-Казахстанской области";"Шығыс Қазақстан облысы білім басқармасының «Облыстық математика, физика, информатика саласындағы дарынды балаларға арналған мамандандырылған мектеп-лицейі» КММ";"5";"5";"0";"100";"Восточно-Казахстанская область, г.Усть-Каменогорск, ул.Новаторов 9 А";"Шығыс-Қазақстан облысы, Өскемен қаласы,  Новаторов көшесі, 9А";"8(7232)24-93-01";"www.vkschool25.com";"osshlmfi91@mail.ru"
"18";"КГУ «Областная специализированная школа-гимназия-интернат имени Жамбыла для одаренных детей» Управления образования Восточно-Казахстанской области";"Шығыс Қазақстан облысы білім басқармасының «Дарынды балаларға арналған Жамбыл атындағы облыстық мамандандырылған мектепгимназия-интернаты» КММ";"5";"7";"75";"0";"Восточно-Казахстанская область, г. Усть-Каменогорск, ул.Амурская 12/1";"Шығыс-Қазақстан облысы, Өскемен қаласы, Амурская 12/1 кшесі";"8/7232/22-44-96";"http://oskemenzhambul.kz/";"zhambul1920@mail.ru"
"19";"КГУ «Областная специализированная школа-лицей-интернат для одаренных детей» Управления образования Восточно-Казахстанского области";"Шығыс Қазақстан облысы білім басқармасының «Дарынды балаларға арналған облыстық мамандандырылған мектеп-лицей-интернаты» КММ";"5";"7";"55";"0";"Восточно-Казахстанская область, г.Усть-Каменогорск пер.Западный 96,98";"Шығыс-Қазақстан облысы, Өскемен қаласы, Западный 96,98 қиылысы";"8/7232/78-05-04";"http://shqo-daryn.mektebi.kz/";"vkolicei@mail.ru"
