"id";"name_school";"name_school_kz";"region_id";"address";"address_kz"
"1";"КГУ «Областная специализированная школа-интернат №3 для одаренных детей имени Абая, город Кокшетау» Управления образования Акмолинской области";"Ақмола облысы білім басқармасының «Көкшетау қаласы, Абай атындағы дарынды балаларға арналған № 3 облыстық мамандандырылған мектеп-интернаты» КММ";"1";"Акмолинская область, г. Кокшетау, ул.Саина 20 А";"Ақмола облысы, Көкшетау қаласы, Саина көшесі, 20 А"
"2";"КГУ «Областная специализированная школа-интернат №2 для одаренных детей, город Нур-Султан» Управления образования Акмолинской области";"Ақмола облысы білім басқармасының «Нұр-Сұлтан қаласы, дарынды балаларға арналған № 2 облыстық мамандандырылған мектепинтернаты» КММ";"1";"г. Нур- Султан, ул.А. Затаевича 14";"Нұр- Сұлтан қаласы, А. Затаевича көшесі, 14"
"3";"КГУ «Областная специализированная школа-интернат №4 для одаренных детей «Болашак» город Степногорск» Управления образования Акмолинской области";"Ақмола облысы білім басқармасының «Дарынды балаларға арналған №4 облыстық мамандандырылған «Болашақ» мектеп-интернаты» КММ, Степногорск қаласы";"1";"Акмолинская область, г.Степногорск, 4 микрорайон, 135 здание";"Ақмола облысы, Степногорск қаласы, 4 шағын ауданы, 135 ғимарат"
"4";"ГУ «Актюбинская областная специализированная физико-математическая школа-интернат» Управления образования Актюбинской области";"«Ақтөбе облысының білім басқармасы» ММ «Ақтөбе облыстық мамандандырылған физика-математика мектеп-интернаты» КММ";"2";"г.Актобе, Проспект Санкибая, 74С";"Ақтөбе қаласы,  Сәңкібай батыр даңғылы,  74С ғимараты"
"5";"КГУ «Специализированный лицей «Экономика и бизнес» № 24 имени Мухтара Арына для одаренных детей с обучением на трех языках» Управления образования Алматинской области, город Талдыкорган";"«Алматы облысы білім басқармасы» ММ Талдықорған қаласындағы «Дарынды балаларға арналған үш тілде оқытатын Мұхтар Арын атындағы № 24 «Экономика және бизнес» арнаулы лицейі» КММ";"3";"Алматинская область, г.Талдыкорган. ул.Абылайхана, 150";"Алматы облысы, Талдықорған қ., Абылайхан көшесі, 150"
"6";"КГУ «Специализированная гимназия имени Аль-Фараби для одаренных детей с обучением на трех языках» Карасайского района Управления образования Алматинской области";"«Алматы облысы білім басқармасы» ММ Қарасай ауданындағы «Дарынды балаларға арналған үш тілде оқытатын Әл-Фараби атындағы арнаулы гимназиясы» КММ";"3";"Алматинская область Карасайский район п.Алмалыбак, ул.Хабибуллина, №9";"Алматы облысы, Қарасай ауданы, Алмалыбақ ауылы, Хабибуллина көшесі, №9 үй"
"7";"ГУ «Областная национальная гимназия для одаренных детей с интернатным учреждением» Управления образования Атырауской области";"Атырау облысы білім басқармасының «Облыстық дарынды балаларға арналған интернаттық мекемесі бар ұлттық гимназиясы» ММ";"4";"г. Атырау, Абдрахманова, 39 А";"Атырау қаласы,  Абдрахманова көшесі, 39 А"
"8";"КГУ «Областная специализированная IT школа-лицей» Управления образования Восточно-Казахстанской области";"Шығыс Қазақстан облысы білім басқармасының «Облыстық мамандандырылған IT мектеп-лицейі» КММ";"5";"Восточно-Казахстанская область, г. Усть - Каменогорск, ул. Калихан Ыскак, 2/1";"Шығыс-Қазақстан облысы, Өскемен қаласы, Қалихан Ысқақ көшесі, 2/1 үй"
"9";"КГУ «Специализированная мужская школа-лицей-интернат «Жас Улан» имени Ш. Уалиханова для одаренных детей» Управления образования Восточно-Казахстанской области";"Шығыс Қазақстан облысы білім басқармасының ""Дарынды балаларға арналған Ш.Уәлиханов атындағы ""Жас Ұлан"" арнайы ерлер мектеп- лицей-интернаты"" КММ";"5";"Восточно-Казахстанская область, г.Семей ул.Шугаева, 159А";"Шығыс-Қазақстан облысы, Семей қаласы, Шұғаев көшесі, 159А"
"10";"ГУ «Специализированная школа для одаренных детей с обучением на трех языках» Управления образования Жамбылской области";"Жамбыл облысы әкімдігі білім басқармасының «Үш тілде оқытатын дарынды балаларға арналған мамандандырылған мектебі» КММ";"6";"Жамбылская область, город Тараз, Толе би 22";"Жамбыл облысы,  Тараз қаласы, Толе би көшесі, 22"
